FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	cluster_id
FBgn0031318	CG4887		BP_function;CC_component	4
FBgn0031319	CG4896		BP_function	5
FBgn0031452	Cwc25	Cwc25	BP_function;CC_component	4
FBgn0031456	Tnpo-SR	Transportin-Serine/Arginine rich	BP_function	4
FBgn0031492	Prp40	pre-mRNA processing factor 40	BP_function;CC_component	4
FBgn0031493	Sf3b2	Splicing factor 3b subunit 2	BP_function;CC_component	4
FBgn0031601	Dim1	Dim1	BP_function;CC_component	4
FBgn0031628	CG3294		BP_function;CC_component	6
FBgn0031631	CG3225		BP_function;CC_component	1
FBgn0031822	Phf5a	PHD finger protein 5a	BP_function;CC_component	4
FBgn0031883	Caper	Caper	BP_function;CC_component	5
FBgn0031961	CG7102		CC_component	4
FBgn0032016	Mettl14	Methyltransferase like 14	BP_function	4
FBgn0032240	CG17768		BP_function;CC_component	4
FBgn0032248	Bug22	Basal body up regulated gene 22	BP_function;CC_component	1
FBgn0032250	holn1	hole-in-one	CC_component	5
FBgn0032388	CG6686		BP_function;CC_component	4
FBgn0032690	CG10333		BP_function;CC_component	4
FBgn0032812	Hakai	Hakai	BP_function	4
FBgn0032822	CG10466		BP_function;CC_component	4
FBgn0033062	Ars2	Arsenic resistance protein 2	BP_function;CC_component	4
FBgn0033089	CG17266		BP_function;CC_component	4
FBgn0033160	Dhx15	DEAH-box helicase 15	BP_function;CC_component	3
FBgn0033210	U2A	U2A	BP_function;CC_component	4
FBgn0033378	tsu	tsunagi	BP_function;CC_component	4
FBgn0033450	Lsm11	Lsm11	BP_function	2
FBgn0033527	CG11777		CC_component	4
FBgn0033556	CG12343		BP_function;CC_component	5
FBgn0033615	CG7741		BP_function	3
FBgn0033688	Prp8	pre-mRNA processing factor 8	BP_function;CC_component	4
FBgn0033859	fand	fandango	BP_function;CC_component	4
FBgn0033862	CG6209		BP_function;CC_component	1
FBgn0034000	CG11808		BP_function;CC_component	4
FBgn0034084	CG8435		BP_function	4
FBgn0034109	CG7747		BP_function;CC_component	4
FBgn0034402	CG15084		BP_function;CC_component	3
FBgn0034564	CG9344		BP_function;CC_component	4
FBgn0034659	CG4021		BP_function	1
FBgn0034731	CG10384		BP_function	5
FBgn0034739	CG3927		BP_function	1
FBgn0034740	nsr	novel spermatogenesis regulator	BP_function	1
FBgn0035021	CG4622		CC_component	1
FBgn0035027	CG3511		CC_component	4
FBgn0035141	Cypl	Cyclophilin-like	BP_function;CC_component	4
FBgn0035162	Sf3b3	Splicing factor 3b subunit 3	BP_function;CC_component	3
FBgn0035235	CG7879		BP_function	5
FBgn0035253	Srrm234	Serine-arginine repetitive matrix 2/3/4	BP_function;CC_component	5
FBgn0035254	CG7974		BP_function;CC_component	5
FBgn0035271	CG2021		BP_function;CC_component	4
FBgn0035294	Mfap1	Microfibril-associated protein 1	BP_function;CC_component	4
FBgn0035520	CG11586		BP_function;CC_component	4
FBgn0035675	CG6610		BP_function;CC_component	3
FBgn0035692	Sf3b6	Splicing factor 3b subunit 6	BP_function;CC_component	1
FBgn0035720	CG10077		BP_function	5
FBgn0035838	ldbr	lariat debranching enzyme	BP_function	4
FBgn0035872	Cpsf6	Cleavage and polyadenylation specific factor 6	BP_function	4
FBgn0036018	CG3335		BP_function	3
FBgn0036020	Cyp40	Cyclophilin 40	CC_component	1
FBgn0036063	CG6674		CC_component	1
FBgn0036207	CG10907		BP_function;CC_component	5
FBgn0036277	CG10418		BP_function;CC_component	4
FBgn0036314	Sf3a2	Splicing factor 3a subunit 2	BP_function;CC_component	4
FBgn0036317	anw	angel wing	BP_function	5
FBgn0036340	Srrm1	Serine-arginine repetitive matrix 1	BP_function;CC_component	4
FBgn0036386	CG8833		BP_function;CC_component	1
FBgn0036487	Prp31	Pre-mRNA processing factor 31	BP_function;CC_component	4
FBgn0036641	Smn	survival motor neuron	BP_function	1
FBgn0036733	U4-U6-60K	U4-U6 small nuclear riboprotein factor 60K	BP_function;CC_component	4
FBgn0036734	CG7564		BP_function;CC_component	5
FBgn0036828	Prp6	pre-mRNA processing factor 6	BP_function;CC_component	4
FBgn0036850	Gem2	Gemin 2	CC_component	5
FBgn0036915	Prp3	Precursor RNA processing 3	BP_function;CC_component	4
FBgn0036964	FRG1	FSHD region gene 1	CC_component	4
FBgn0037081	barc	barricade	BP_function;CC_component	4
FBgn0037220	CG14641		BP_function;CC_component	4
FBgn0037342	CG2931		BP_function;CC_component	4
FBgn0037344	CG2926		BP_function	5
FBgn0037466	CG1965		BP_function;CC_component	5
FBgn0037531	CG10445		BP_function	1
FBgn0037550	CG9667		BP_function;CC_component	4
FBgn0037573	CG7483		BP_function;CC_component	4
FBgn0037583	Veneno	Veneno	BP_function;CC_component	5
