gsm_id	title	organism	species_short	source_name	tissue	gender	replicate	developmental_stage	timing	coarse_stage	exact_stage_label	srx_accession	sra_relation	stage_sort_key	matrix_column
GSM8330959	Dmel pupae P4 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P4	pupa	pupae_P4	SRX24935423	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935423	204	pupae P4 2
GSM8330960	Dmel pupae P4 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P4	pupa	pupae_P4	SRX24935424	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935424	204	pupae P4 3
GSM8330961	Dmel pupae P5 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P5	pupa	pupae_P5	SRX24935425	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935425	205	pupae P5 1
GSM8330962	Dmel pupae P5 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P5	pupa	pupae_P5	SRX24935426	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935426	205	pupae P5 2
GSM8330963	Dmel pupae P5 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P5	pupa	pupae_P5	SRX24935427	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935427	205	pupae P5 3
GSM8330964	Dmel pupae 24h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	24h	pupa	pupae_24h	SRX24935428	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935428	324	pupae 24h 1
GSM8330965	Dmel pupae 24h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	24h	pupa	pupae_24h	SRX24935429	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935429	324	pupae 24h 2
GSM8330966	Dmel pupae 24h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	24h	pupa	pupae_24h	SRX24935430	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935430	324	pupae 24h 3
GSM8330967	Dmel pupae 48h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	48h	pupa	pupae_48h	SRX24935431	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935431	348	pupae 48h 1
GSM8330968	Dmel pupae 48h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	48h	pupa	pupae_48h	SRX24935432	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935432	348	pupae 48h 2
GSM8330969	Dmel pupae 48h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	48h	pupa	pupae_48h	SRX24935433	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935433	348	pupae 48h 3
GSM8330970	Dmel imago 5d 1	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 1	imago	5d	adult	imago_5d	SRX24935434	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935434	405	adults 5d 1
GSM8330971	Dmel imago 5d 2	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 2	imago	5d	adult	imago_5d	SRX24935435	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935435	405	adults 5d 2
GSM8330972	Dmel imago 5d 3	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 3	imago	5d	adult	imago_5d	SRX24935436	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935436	405	adults 5d 3
